date,price
2024-12-31,94591.79
2025-01-01,96984.79
2025-01-02,98174.18
2025-01-03,98220.5
2025-01-04,98363.61
2025-01-05,102235.6
2025-01-06,96954.61
2025-01-07,95060.61
2025-01-08,92552.49
2025-01-09,94726.11
2025-01-10,94599.99
2025-01-11,94545.06
2025-01-12,94536.1
2025-01-13,96560.86
2025-01-14,100497.35
2025-01-15,99987.3
2025-01-16,104077.48
2025-01-17,104556.23
2025-01-18,101331.57
2025-01-19,102260.01
2025-01-20,106143.82
2025-01-21,103706.66
2025-01-22,103910.34
2025-01-23,104870.5
2025-01-24,104746.85
2025-01-25,102620
2025-01-26,102082.83
2025-01-27,101335.52
2025-01-28,103733.24
2025-01-29,104722.94
2025-01-30,102429.56
2025-01-31,100635.65
2025-02-01,97700.59
2025-02-02,101328.52
2025-02-03,97763.13
2025-02-04,96612.43
2025-02-05,96554.35
2025-02-06,96506.8
2025-02-07,96444.74
2025-02-08,96462.75
2025-02-09,97430.82
2025-02-10,95778.2
2025-02-11,97869.99
2025-02-12,96608.14
2025-02-13,97500.48
2025-02-14,97569.66
2025-02-15,96118.12
2025-02-16,95780
2025-02-17,95671.74
2025-02-18,96644.37
2025-02-19,98305
2025-02-20,96181.98
2025-02-21,96551.01
2025-02-22,96258
2025-02-23,91552.88
2025-02-24,88680.4
2025-02-25,84250.09
2025-02-26,84708.58
2025-02-27,84349.94
2025-02-28,86064.53
2025-03-01,94270
2025-03-02,86220.61
2025-03-03,87281.98
2025-03-04,90606.01
2025-03-05,89931.89
2025-03-06,86801.75
2025-03-07,86222.45
2025-03-08,80734.37
2025-03-09,78595.86
2025-03-10,82932.99
2025-03-11,83680.12
2025-03-12,81115.78
2025-03-13,83983.2
2025-03-14,84338.44
2025-03-15,82574.53
2025-03-16,84010.03
2025-03-17,82715.03
2025-03-18,86845.94
2025-03-19,84223.39
2025-03-20,84088.79
2025-03-21,83840.59
2025-03-22,86082.5
2025-03-23,87498.16
2025-03-24,87392.87
2025-03-25,86909.17
2025-03-26,87232.01
2025-03-27,84424.38
2025-03-28,82648.54
2025-03-29,82389.99
2025-03-30,82550.01
2025-03-31,85158.34
2025-04-01,82516.29
2025-04-02,83213.09
2025-04-03,83889.87
2025-04-04,83537.99
2025-04-05,78430
2025-04-06,79163.24
2025-04-07,76322.42
2025-04-08,82615.22
2025-04-09,79607.3
2025-04-10,83423.84
2025-04-11,85276.9
2025-04-12,83760
2025-04-13,84591.58
2025-04-14,83643.99
2025-04-15,84030.38
2025-04-16,84947.91
2025-04-17,84474.69
2025-04-18,85077.01
2025-04-19,85179.24
2025-04-20,87516.23
2025-04-21,93442.99
2025-04-22,93691.08
2025-04-23,93980.47
2025-04-24,94638.68
2025-04-25,94628
2025-04-26,93749.3
2025-04-27,95011.18
2025-04-28,94256.82
2025-04-29,94172
2025-04-30,96489.91
2025-05-01,96887.14
2025-05-02,95856.42
2025-05-03,94277.62
2025-05-04,94733.68
2025-05-05,96834.02
2025-05-06,97030.5
2025-05-07,103261.6
2025-05-08,102971.99
2025-05-09,104809.53
2025-05-10,104118
2025-05-11,102791.32
2025-05-12,104103.72
2025-05-13,103507.82
2025-05-14,103763.71
2025-05-15,103463.9
2025-05-16,103126.65
2025-05-17,106454.26
2025-05-18,105573.74
2025-05-19,106849.99
2025-05-20,109643.99
2025-05-21,111696.21
2025-05-22,107318.3
2025-05-23,107761.91
2025-05-24,109004.19
2025-05-25,109434.79
2025-05-26,108938.17
2025-05-27,107781.78
2025-05-28,105589.75
2025-05-29,103985.48
2025-05-30,104591.88
2025-05-31,105642.93
2025-06-01,105857.99
2025-06-02,105376.89
2025-06-03,104696.86
2025-06-04,101508.68
2025-06-05,104288.44
2025-06-06,105552.15
2025-06-07,105734
2025-06-08,110263.02
2025-06-09,110274.39
2025-06-10,108645.12
2025-06-11,105671.73
2025-06-12,106066.59
2025-06-13,105414.64
2025-06-14,105594.01
2025-06-15,106794.53
2025-06-16,104551.17
2025-06-17,104886.78
2025-06-18,104658.59
2025-06-19,103297.99
2025-06-20,102120.01
2025-06-21,100963.87
2025-06-22,105333.93
2025-06-23,106083
2025-06-24,107340.58
2025-06-25,106947.06
2025-06-26,107047.59
2025-06-27,107296.79
2025-06-28,108356.93
2025-06-29,107146.5
2025-06-30,105681.14
2025-07-01,108849.6
2025-07-02,109584.78
2025-07-03,107984.24
2025-07-04,108064
2025-07-05,108036
2025-07-06,109476.98
2025-07-07,107722.34
2025-07-08,108823.61
2025-07-09,111279.22
2025-07-10,115789.71
2025-07-11,117646.37
2025-07-12,117420.29
2025-07-13,119177.83
2025-07-14,117989.89
2025-07-15,117519.27
2025-07-16,118299.21
2025-07-17,120138.99
2025-07-18,118000.7
2025-07-19,117884.29
2025-07-20,117884.28
2025-07-21,117453.46
2025-07-22,119308
2025-07-23,118944.89
2025-07-24,117100
2025-07-25,117266.98
2025-07-26,118150.38
2025-07-27,119494.04
2025-07-28,117919.49
2025-07-29,118021.87
2025-07-30,118172.36
2025-07-31,115760.31
2025-08-01,113751.5
2025-08-02,113368
2025-08-03,114811.96
2025-08-04,114664.83
2025-08-05,113679.97
2025-08-06,114769.7
2025-08-07,116788.74
2025-08-08,116506.38
2025-08-09,116734.75
2025-08-10,121459.83
2025-08-11,118968.74
2025-08-12,119274.59
2025-08-13,123568.65
2025-08-14,118749.03
2025-08-15,117666.79
2025-08-16,117407.92
2025-08-17,115802.33
2025-08-18,115760
2025-08-19,112962.01
2025-08-20,114665.14
2025-08-21,112840.09
2025-08-22,116425.33
2025-08-23,115601.93
2025-08-24,113199.99
2025-08-25,109856.01
2025-08-26,111295.21
2025-08-27,111652.47
2025-08-28,111472.82
2025-08-29,107912.97
2025-08-30,109439.43
2025-08-31,107949.22
2025-09-01,109326.01
2025-09-02,110961.93
2025-09-03,111844.46
2025-09-04,111053.72
2025-09-05,110187.97
2025-09-06,111137.34
2025-09-07,112065.23
2025-09-08,111546.39
2025-09-09,113960
2025-09-10,115482.69
2025-09-11,116029.42
2025-09-12,115918.29
2025-09-13,115268.01
2025-09-14,115349.71
2025-09-15,116788.96
2025-09-16,116447.59
2025-09-17,117073.53
2025-09-18,115632.38
2025-09-19,115685.63
2025-09-20,115232.29
2025-09-21,112650.99
2025-09-22,111998.8
2025-09-23,113307
2025-09-24,108994.49
2025-09-25,109643.46
2025-09-26,109635.85
2025-09-27,112163.95
2025-09-28,114311.96
2025-09-29,113065.08
2025-09-30,114289.52
2025-10-01,118592.06
2025-10-02,120221.91
2025-10-03,122091.01
2025-10-04,122244.41
2025-10-05,123584.95
2025-10-06,125046.94
2025-10-07,121832.92
2025-10-08,122700.8
2025-10-09,121786.26
2025-10-10,112143.65
2025-10-11,110039.84
2025-10-12,115283.65
2025-10-13,114711
2025-10-14,112726.98
2025-10-15,111005.02
2025-10-16,108980.44
