Date,Close Price USD
2025-01-01,94419.76
2025-01-02,96886.88
2025-01-03,98107.43
2025-01-04,98236.23
2025-01-05,98314.96
2025-01-06,102078.09
2025-01-07,96922.7
2025-01-08,95043.52
2025-01-09,92484.04
2025-01-10,94701.45
2025-01-11,94566.59
2025-01-12,94488.44
2025-01-13,94516.52
2025-01-14,96534.05
2025-01-15,100504.49
2025-01-16,99756.91
2025-01-17,104462.04
2025-01-18,104408.07
2025-01-19,101089.61
2025-01-20,102016.66
2025-01-21,106146.27
2025-01-22,103653.07
2025-01-23,103960.17
2025-01-24,104819.48
2025-01-25,104714.65
2025-01-26,102682.5
2025-01-27,102087.69
2025-01-28,101332.48
2025-01-29,103703.21
2025-01-30,104735.3
2025-01-31,102405.02
2025-02-01,100655.91
2025-02-02,97688.98
2025-02-03,101405.42
2025-02-04,97871.82
2025-02-05,96615.45
2025-02-06,96593.3
2025-02-07,96529.09
2025-02-08,96482.45
2025-02-09,96500.09
2025-02-10,97437.55
2025-02-11,95747.43
2025-02-12,97885.86
2025-02-13,96623.87
2025-02-14,97508.97
2025-02-15,97580.35
2025-02-16,96175.03
2025-02-17,95773.38
2025-02-18,95539.55
2025-02-19,96635.61
2025-02-20,98333.94
2025-02-21,96125.55
2025-02-22,96577.76
2025-02-23,96273.92
2025-02-24,91418.17
2025-02-25,88736.17
2025-02-26,84347.02
2025-02-27,84704.23
2025-02-28,84373.01
2025-03-01,86031.91
2025-03-02,94248.35
2025-03-03,86065.67
2025-03-04,87222.2
2025-03-05,90623.56
2025-03-06,89961.73
2025-03-07,86742.67
2025-03-08,86154.59
2025-03-09,80601.04
2025-03-10,78532
2025-03-11,82862.21
2025-03-12,83722.36
2025-03-13,81066.7
2025-03-14,83969.1
2025-03-15,84343.11
2025-03-16,82579.69
2025-03-17,84075.69
2025-03-18,82718.5
2025-03-19,86854.23
2025-03-20,84167.2
2025-03-21,84043.24
2025-03-22,83832.48
2025-03-23,86054.38
2025-03-24,87498.91
2025-03-25,87471.7
2025-03-26,86900.88
2025-03-27,87177.1
2025-03-28,84353.15
2025-03-29,82597.59
2025-03-30,82334.52
2025-03-31,82548.91
2025-04-01,85169.17
2025-04-02,82485.71
2025-04-03,83102.83
2025-04-04,83843.8
2025-04-05,83504.8
2025-04-06,78214.48
2025-04-07,79235.34
2025-04-08,76271.95
2025-04-09,82573.95
2025-04-10,79626.14
2025-04-11,83404.84
2025-04-12,85287.11
2025-04-13,83684.98
2025-04-14,84542.39
2025-04-15,83668.99
2025-04-16,84033.87
2025-04-17,84895.75
2025-04-18,84450.8
2025-04-19,85063.41
2025-04-20,85174.3
2025-04-21,87518.91
2025-04-22,93441.89
2025-04-23,93699.11
2025-04-24,93943.8
2025-04-25,94720.5
2025-04-26,94646.93
2025-04-27,93754.84
2025-04-28,94978.75
2025-04-29,94284.79
2025-04-30,94207.31
2025-05-01,96492.34
2025-05-02,96910.07
2025-05-03,95891.8
2025-05-04,94315.98
2025-05-05,94748.05
2025-05-06,96802.48
2025-05-07,97032.32
2025-05-08,103241.46
2025-05-09,102970.85
2025-05-10,104696.33
2025-05-11,104106.36
2025-05-12,102812.95
2025-05-13,104169.81
2025-05-14,103539.41
2025-05-15,103744.64
2025-05-16,103489.29
2025-05-17,103191.09
2025-05-18,106446.01
2025-05-19,105606.18
2025-05-20,106791.09
2025-05-21,109678.08
2025-05-22,111673.28
2025-05-23,107287.8
2025-05-24,107791.16
2025-05-25,109035.39
2025-05-26,109440.37
2025-05-27,108994.64
2025-05-28,107802.33
2025-05-29,105641.76
2025-05-30,103998.57
2025-05-31,104638.09
2025-06-01,105652.1
2025-06-02,105881.53
2025-06-03,105432.47
2025-06-04,104731.98
2025-06-05,101575.95
2025-06-06,104390.34
2025-06-07,105615.63
2025-06-08,105793.65
2025-06-09,110294.1
2025-06-10,110257.23
2025-06-11,108686.63
2025-06-12,105929.05
2025-06-13,106090.97
2025-06-14,105472.41
2025-06-15,105552.02
2025-06-16,106796.76
2025-06-17,104601.12
2025-06-18,104883.33
2025-06-19,104684.29
2025-06-20,103309.6
2025-06-21,102257.41
2025-06-22,100987.14
2025-06-23,105577.77
2025-06-24,106045.63
2025-06-25,107361.26
2025-06-26,106960
2025-06-27,107088.43
2025-06-28,107327.7
2025-06-29,108385.57
2025-06-30,107135.34
2025-07-01,105698.28
2025-07-02,108859.32
2025-07-03,109647.98
2025-07-04,108034.34
2025-07-05,108231.18
2025-07-06,109232.07
2025-07-07,108299.85
2025-07-08,108950.27
2025-07-09,111326.55
2025-07-10,115987.2
2025-07-11,117516.99
2025-07-12,117435.23
2025-07-13,119116.12
2025-07-14,119849.7
2025-07-15,117777.19
2025-07-16,118738.51
2025-07-17,119289.84
2025-07-18,118003.23
2025-07-19,117939.98
2025-07-20,117300.79
2025-07-21,117439.54
2025-07-22,119995.41
2025-07-23,118754.96
2025-07-24,118368
2025-07-25,117635.88
2025-07-26,117947.37
2025-07-27,119448.49
2025-07-28,117924.48
2025-07-29,117922.15
2025-07-30,117831.19
2025-07-31,115758.2
2025-08-01,113320.09
2025-08-02,112526.91
2025-08-03,114217.67
2025-08-04,115071.88
2025-08-05,114141.45
2025-08-06,115028
2025-08-07,117496.9
